code,trade_date,name,close,smadepth,weight,pct_down_from_52_week,pct_above_sma200,total_weight,link
532755,2023-06-05,TECHM,1109.25,500,10,12.008113590263696,49.18032786885246,161.18844145911615,https://www.screener.in/company/532755/
500425,2023-06-02,AMBUJACEM,437.75,200,8,34.23186750428327,51.33470225872689,165.56656976301016,https://www.screener.in/company/500425/
500425,2023-06-05,AMBUJACEM,439.0,200,8,33.8496583143508,51.229508196721305,165.07916651107212,https://www.screener.in/company/500425/
500493,2023-06-05,BHARATFORG,798.65,200,8,13.798284605271402,49.18032786885246,142.97861247412385,https://www.screener.in/company/500493/
500477,2023-06-05,ASHOKLEY,149.0,20,8,11.040268456375832,63.52459016393443,154.56485862031025,https://www.screener.in/company/500477/
500331,2023-06-05,PIDILITIND,2637.45,0,8,9.966065707406791,66.18852459016394,156.15459029757073,https://www.screener.in/company/500331/
532388,2023-06-05,IOB,25.06,0,6,38.66719872306465,40.16393442622951,138.83113314929415,https://www.screener.in/company/532388/
505790,2023-06-05,SCHAEFFLER,3004.75,500,6,23.33638405857392,50.204918032786885,133.54130209136082,https://www.screener.in/company/505790/
540699,2023-06-05,DIXON,3980.9,500,6,15.558039639277549,37.5,113.05803963927755,https://www.screener.in/company/540699/
533273,2023-06-05,OBEROIRLTY,959.4,0,6,12.111736501980399,67.41803278688525,139.52976928886565,https://www.screener.in/company/533273/
506401,2023-06-05,DEEPAKNI,2109.3,0,6,11.100839140947215,48.5655737704918,119.66641291143901,https://www.screener.in/company/506401/
540115,2023-06-05,LTTS,3924.2,500,6,9.133071708883353,56.76229508196722,125.89536679085057,https://www.screener.in/company/540115/
532539,2023-06-05,UNOMINDA,556.7,500,5,74.36680438297107,51.02459016393443,175.3913945469055,https://www.screener.in/company/532539/
503310,2023-06-05,SWANENERGY,244.95,200,5,48.90794039599919,67.21311475409836,166.12105515009756,https://www.screener.in/company/503310/
530005,2023-06-05,INDIACEM,218.05,0,5,32.95115799128639,54.713114754098356,137.66427274538475,https://www.screener.in/company/530005/
524735,2023-06-05,HIKAL,321.65,500,5,29.581843618840363,26.024590163934423,105.60643378277479,https://www.screener.in/company/524735/
543334,2023-06-05,NUVOCO,361.4,500,5,26.217487548422802,32.11009174311927,108.32757929154207,https://www.screener.in/company/543334/
543238,2023-06-05,UTIAMC,705.25,500,5,25.437788018433178,37.09016393442623,112.52795195285941,https://www.screener.in/company/543238/
500252,2023-06-05,LAXMIMACH,11501.1,200,5,21.06928902452808,73.77049180327869,144.83978082780675,https://www.screener.in/company/500252/
500770,2023-06-05,TATACHEM,995.7,200,5,20.488098824947272,67.21311475409836,137.70121357904563,https://www.screener.in/company/500770/
543235,2023-06-05,ANGELONE,1383.2,0,5,19.19462116830538,58.606557377049185,127.80117854535456,https://www.screener.in/company/543235/
501301,2023-06-05,TATAINVEST,2325.3,0,5,18.862082311959742,83.60655737704919,152.4686396890089,https://www.screener.in/company/501301/
532234,2023-06-05,NATIONALUM,83.8,500,5,18.138424821002392,56.76229508196722,124.90071990296961,https://www.screener.in/company/532234/
532843,2023-06-05,FORTIS,272.4,200,5,17.7129221732746,64.54918032786885,132.26210250114346,https://www.screener.in/company/532843/
532725,2023-06-05,SOLARINDS,3832.35,200,5,17.339230498258264,92.62295081967213,159.9621813179304,https://www.screener.in/company/532725/
543330,2023-06-05,DEVYANI,182.5,0,5,15.91780821917809,70.0,135.91780821917808,https://www.screener.in/company/543330/
523405,2023-06-05,JMFINANCIL,72.15,500,5,15.731115731115722,26.434426229508194,92.16554196062391,https://www.screener.in/company/523405/
513599,2023-06-05,HINDCOPPER,114.25,500,5,14.485776805251652,24.59016393442623,89.07594073967789,https://www.screener.in/company/513599/
543463,2023-06-05,MANYAVAR,1283.15,200,5,14.304640922729217,69.84126984126983,134.14591076399904,https://www.screener.in/company/543463/
500472,2023-06-05,SKFINDIA,4536.75,0,5,12.936573538325884,79.71311475409836,142.64968829242423,https://www.screener.in/company/500472/
539150,2023-06-05,PNCINFRA,314.55,0,5,11.095215387060874,53.893442622950815,114.98865801001169,https://www.screener.in/company/539150/
532636,2023-06-05,IIFL,470.3,0,5,10.493302147565377,86.47540983606558,146.96871198363095,https://www.screener.in/company/532636/
532805,2023-06-05,REDINGTON,180.55,0,5,10.440321240653555,42.21311475409836,102.65343599475192,https://www.screener.in/company/532805/
500133,2023-06-05,ESABINDIA,3861.2,0,5,10.21444110639181,88.52459016393442,148.73903127032622,https://www.screener.in/company/500133/
506076,2023-06-05,GRINDWELL,2089.5,0,5,9.976070830342177,79.91803278688525,139.89410361722742,https://www.screener.in/company/506076/
541179,2023-06-05,ISEC,516.4,500,5,9.972889233152596,36.47540983606557,96.44829906921817,https://www.screener.in/company/541179/
500411,2023-06-05,THERMAX,2374.35,0,5,9.547876260871409,69.26229508196722,128.81017134283863,https://www.screener.in/company/500411/
531595,2023-06-05,CGCL,710.05,200,5,9.273994789099364,65.3688524590164,124.64284724811576,https://www.screener.in/company/531595/
506590,2023-06-05,PCBL,137.25,500,5,8.306010928961753,22.74590163934426,81.05191256830602,https://www.screener.in/company/506590/
